央视频道,#genre#
CCTV-1综合,rtsp://222.85.69.145/PLTV/88888888/224/3221226404/10000100000000060000000000398492_0.smil
CCTV-2财经,rtsp://222.85.69.145/PLTV/88888888/224/3221226515/10000100000000060000000000414181_0.smil
CCTV-3综艺,rtsp://222.85.69.145/PLTV/88888888/224/3221226401/10000100000000060000000000398495_0.smil
CCTV-4中文国际,rtsp://222.85.69.145/PLTV/88888888/224/3221226512/10000100000000060000000000414186_0.smil
CCTV-5体育,rtsp://222.85.69.141/PLTV/88888888/224/3221226533/10000100000000060000000000416356_0.smil
CCTV-5+体育赛事,rtsp://222.85.69.145/PLTV/88888888/224/3221226583/10000100000000060000000000527265_0.smil
CCTV-6电影,rtsp://222.85.69.145/PLTV/88888888/224/3221226509/10000100000000060000000000414188_0.smil
CCTV-7国防军事,rtsp://222.85.69.145/PLTV/88888888/224/3221226539/10000100000000060000000000416354_0.smil
CCTV-8电视剧,rtsp://222.85.69.145/PLTV/88888888/224/3221226548/10000100000000060000000000416346_0.smil
CCTV-9纪录,rtsp://222.85.69.145/PLTV/88888888/224/3221226545/10000100000000060000000000416347_0.smil
CCTV-10科教,rtsp://222.85.69.145/PLTV/88888888/224/3221226542/10000100000000060000000000416348_0.smil
CCTV-11戏曲,rtsp://222.85.69.145/PLTV/88888888/224/3221226511/10000100000000060000000000428956_0.smil
CCTV-12社会与法,rtsp://222.85.69.145/PLTV/88888888/224/3221226514/10000100000000060000000000428961_0.smil
CCTV-13新闻,rtsp://222.85.69.145/PLTV/88888888/224/3221226508/10000100000000060000000000428965_0.smil
CCTV-14少儿,rtsp://222.85.69.145/PLTV/88888888/224/3221226517/10000100000000060000000000428967_0.smil
CCTV-15音乐,rtsp://222.85.69.145/PLTV/88888888/224/3221226520/10000100000000060000000000428969_0.smil
CCTV-17农业农村,rtsp://222.85.69.145/PLTV/88888888/224/3221226551/10000100000000060000000000416344_0.smil
CETV1,rtsp://222.85.69.145/PLTV/88888888/224/3221226416/10000100000000060000000000398818_0.smil
CGTN,rtsp://222.85.69.145/PLTV/88888888/224/3221226605/10000100000000060000000000430964_0.smil

CCTV-1综合,http://222.85.70.9/PLTV/88888888/224/3221227005/index.m3u8
CCTV-2财经,http://222.85.70.9/PLTV/88888888/224/3221227049/index.m3u8
CCTV-3综艺,http://222.85.70.9/PLTV/88888888/224/3221227053/index.m3u8
CCTV-4中文国际,http://222.85.70.9/PLTV/88888888/224/3221227050/index.m3u8
CCTV-5体育,http://222.85.70.9/PLTV/88888888/224/3221227047/index.m3u8
CCTV-5+体育赛事,http://222.85.70.9/PLTV/88888888/224/3221227111/index.m3u8
CCTV-6电影,http://222.85.70.9/PLTV/88888888/224/3221227046/index.m3u8
CCTV-7国防军事,http://222.85.70.9/PLTV/88888888/224/3221227084/index.m3u8
CCTV-8电视剧,http://222.85.70.9/PLTV/88888888/224/3221227081/index.m3u8
CCTV-9纪录,http://222.85.70.9/PLTV/88888888/224/3221227078/index.m3u8
CCTV-10科教,http://222.85.70.9/PLTV/88888888/224/3221227043/index.m3u8
CCTV-11戏曲,http://222.85.70.9/PLTV/88888888/224/3221227040/index.m3u8
CCTV-12社会与法,http://222.85.70.9/PLTV/88888888/224/3221227044/index.m3u8
CCTV-13新闻,http://222.85.70.9/PLTV/88888888/224/3221227041/index.m3u8
CCTV-14少儿,http://222.85.70.9/PLTV/88888888/224/3221227038/index.m3u8
CCTV-15音乐,http://222.85.70.9/PLTV/88888888/224/3221227037/index.m3u8
CCTV-17农业农村,http://222.85.70.9/PLTV/88888888/224/3221227072/index.m3u8
CCTV4K,http://222.85.70.9/PLTV/88888888/224/3221227244/index.m3u8
CCTV4K,http://123.160.108.7:6410/PLTV1/190059/1.m3u8?
CETV1,http://222.85.70.9/PLTV/88888888/224/3221227034/index.m3u8
CGTN,http://222.85.70.9/PLTV/88888888/224/3221227075/index.m3u8

卫视频道,#genre#
东方卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227271/index.m3u8
山东卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227274/index.m3u8
浙江卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227275/index.m3u8
湖南卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227278/index.m3u8
江苏卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227330/index.m3u8
四川卫视4K,http://222.85.69.6/PLTV/88888888/224/3221227333/index.m3u8
北京卫视4K,http://222.85.69.145/PLTV/88888888/224/3221227083/10000100000000060000000001801785_0.smil/index.m3u8?fmt=ts2hls
北京卫视4K,http://123.160.108.15:6610/PLTV1/190057/1.m3u8?
北京卫视4K,http://222.85.69.145/PLTV/88888888/224/3221227108/index.m3u8
深圳卫视4K,http://222.85.69.145/PLTV/88888888/224/3221227260/371125761.smil/index.m3u8?fmt=ts2hls
深圳卫视4K,http://123.160.108.15:6610/PLTV1/190141/1.m3u8?
广东卫视4K,http://222.85.69.145/PLTV/88888888/224/3221227318/371125774.smil/index.m3u8?fmt=ts2hls
